c FILE			: 2_5.txt
c No. of vertices	: 32
c No. of directed edges	: 512
c Max. weight		: 100
c Min. weight		: 0
c A directed arc from u to v of weight w
c is represented below as ' a  u  v  w '
p sp 32 512
a 24 13 66
a 24 15 55
a 3 32 87
a 26 27 8
a 24 15 78
a 29 7 12
a 20 26 65
a 6 10 4
a 13 29 21
a 29 16 22
a 6 3 27
a 31 6 49
a 7 31 2
a 22 14 98
a 30 19 58
a 24 7 27
a 32 5 57
a 5 19 21
a 19 14 38
a 13 28 93
a 24 31 61
a 10 12 99
a 19 7 99
a 29 30 20
a 19 30 58
a 22 5 82
a 8 16 60
a 2 3 58
a 22 21 65
a 14 21 84
a 21 14 61
a 8 11 17
a 2 16 65
a 27 1 87
a 12 13 21
a 15 4 33
a 27 13 44
a 24 3 95
a 13 23 94
a 14 3 68
a 32 5 69
a 12 11 73
a 24 8 64
a 9 22 89
a 4 31 86
a 12 29 59
a 4 7 82
a 1 10 15
a 13 10 15
a 20 27 25
a 17 11 45
a 4 28 24
a 26 15 44
a 17 29 41
a 27 30 79
a 7 22 46
a 18 27 70
a 28 25 68
a 13 31 73
a 17 31 11
a 20 2 3
a 29 20 34
a 1 25 96
a 19 12 21
a 13 28 29
a 19 29 19
a 23 30 99
a 10 15 38
a 28 19 73
a 6 10 91
a 15 23 87
a 16 20 9
a 20 32 35
a 31 2 25
a 3 28 11
a 29 16 22
a 17 30 93
a 27 15 91
a 30 26 4
a 6 18 43
a 21 27 47
a 23 17 43
a 6 20 64
a 17 25 46
a 19 29 63
a 26 27 49
a 32 21 12
a 10 19 47
a 9 18 12
a 15 20 68
a 5 22 26
a 4 1 49
a 17 9 27
a 16 14 99
a 3 20 93
a 13 12 84
a 24 28 47
a 25 11 63
a 32 3 78
a 14 16 59
a 8 10 16
a 4 1 64
a 18 1 89
a 15 5 51
a 22 12 63
a 7 20 21
a 26 3 83
a 5 2 30
a 32 22 96
a 10 26 7
a 23 11 83
a 26 12 52
a 29 21 67
a 22 6 37
a 24 32 49
a 10 27 39
a 15 8 63
a 26 2 41
a 5 26 92
a 17 22 13
a 18 23 6
a 11 28 91
a 13 7 73
a 15 26 76
a 2 21 78
a 11 26 58
a 1 10 59
a 4 26 66
a 11 13 15
a 28 13 3
a 9 30 79
a 12 31 12
a 19 9 18
a 29 20 10
a 1 17 42
a 27 32 72
a 29 32 24
a 26 2 92
a 22 24 68
a 18 11 23
a 22 17 89
a 23 7 21
a 30 31 92
a 14 30 30
a 8 29 22
a 5 8 38
a 11 9 89
a 2 26 43
a 31 8 67
a 26 28 2
a 22 27 29
a 24 23 76
a 10 28 19
a 17 15 56
a 23 1 91
a 4 28 1
a 11 29 77
a 1 12 27
a 16 30 29
a 7 11 63
a 32 4 96
a 8 15 64
a 13 32 80
a 27 22 54
a 12 16 84
a 14 11 82
a 18 13 0
a 17 30 72
a 9 2 97
a 16 15 79
a 27 25 52
a 31 22 43
a 28 14 40
a 9 20 50
a 29 22 42
a 23 5 70
a 22 18 23
a 11 17 78
a 2 4 98
a 9 18 38
a 27 5 31
a 28 18 89
a 16 9 16
a 17 1 37
a 20 13 50
a 16 26 84
a 14 24 55
a 13 31 22
a 4 1 48
a 2 29 97
a 3 25 94
a 6 31 18
a 14 23 27
a 24 17 88
a 20 13 11
a 3 16 52
a 3 17 29
a 1 21 30
a 27 2 61
a 2 26 75
a 27 29 36
a 31 4 42
a 12 7 44
a 30 25 92
a 19 21 52
a 13 31 60
a 8 16 0
a 30 17 96
a 7 24 12
a 20 13 22
a 5 31 71
a 28 14 87
a 17 27 28
a 21 3 90
a 21 4 16
a 27 13 0
a 15 30 21
a 10 13 50
a 5 31 34
a 24 13 55
a 18 6 49
a 29 2 7
a 11 12 14
a 23 25 42
a 10 2 81
a 21 32 16
a 7 18 21
a 18 5 5
a 28 13 11
a 8 4 89
a 23 7 34
a 32 25 6
a 27 7 9
a 29 28 74
a 21 27 63
a 29 14 67
a 30 29 97
a 3 7 48
a 30 22 83
a 16 22 66
a 6 11 72
a 21 5 76
a 16 2 99
a 5 25 4
a 13 7 42
a 28 31 45
a 21 16 95
a 21 12 35
a 27 17 13
a 32 7 22
a 2 12 94
a 2 9 26
a 3 30 42
a 17 11 25
a 16 6 11
a 8 20 63
a 29 25 34
a 24 18 1
a 15 10 30
a 13 6 84
a 27 32 93
a 17 29 47
a 16 27 9
a 2 5 82
a 21 12 48
a 12 13 94
